Model,DPO4034
Firmware Version,2.58

Waveform Type,Analog,Analog,Analog,Analog
Point Format,ENV,,,
Horizontal Units,s,,,
Horizontal Scale,100,,,
Horizontal Delay,0,0,0,0
Sample Interval,0.01,,,
Record Length,100000,,,
Gating,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1,1,1
Vertical Units,V,V,V,V
Vertical Offset,0,0,0,0
Vertical Scale,2,2,2,2
Vertical Position,0,2.04,-2.02,-4.02
Label,,,,
TIME,CH1,CH2,CH3,CH4
-4.97180e+02,-0.16,0.16,0.12,0.52
-4.97170e+02,-0.16,0.4,-0.44,0.2
-4.97160e+02,-0.24,0.4,0.2,0.6
-4.97150e+02,0.16,-0.16,0.2,0.6
-4.97140e+02,0.4,0.32,-0.44,0.44
-4.97130e+02,-0.08,0.72,-0.36,0.68
-4.97120e+02,-0.24,-0.48,-0.44,0.52
-4.97110e+02,-0.32,-0.08,-0.28,0.6
-4.97100e+02,0.64,-0.48,0.04,-0.12
-4.97090e+02,1.12,-1.04,-0.04,-0.2
-4.97080e+02,0.48,-0.96,0.44,-0.04
-4.97070e+02,0.72,0.16,0.12,-0.36
-4.97060e+02,-0.32,-0.88,0.2,0.44
-4.97050e+02,-0.08,-1.36,-0.28,0.12
-4.97040e+02,0,-0.72,-0.12,0.12
-4.97030e+02,-0.08,-0.08,-0.68,0.6
-4.97020e+02,1.04,0.08,-1.32,0.52
-4.97010e+02,0.96,-0.16,-1.16,0.2
-4.97000e+02,0.24,0,-0.04,0.2
-4.96990e+02,0.8,-0.96,-0.44,-0.52
-4.96980e+02,1.04,-0.48,0.76,-0.28
-4.96970e+02,0.72,-0.08,0.68,-0.2
-4.96960e+02,0.64,-0.56,0.68,-0.12
-4.96950e+02,0.08,-0.64,0.52,0.12
-4.96940e+02,-0.16,0.56,0.2,0.2
-4.96930e+02,-0.24,0.48,-0.52,-0.04
-4.96920e+02,-0.08,-0.16,0.44,0.2
-4.96910e+02,0.32,0.16,0.36,-0.12
-4.96900e+02,-0.16,-0.08,0.04,0.04
